bǐ jiào	比较 - to compare; to contrast; comparatively; relatively
b_ ji_o (比较)	比较 - bǐ jiào
帮	bāng - to help; to assist; to support; for sb (i.e. as a help)
bāng	帮 - to help; to assist; to support; for sb (i.e. as a help)
b_ng (帮)	帮 - bāng
远	yuǎn - far; distant; remote
yuǎn	远 - far; distant; remote
yu_n (远)	远 - yuǎn
下午	xià wǔ - afternoon; CL:個|个[ge4]; p.m.
xià wǔ	下午 - afternoon; CL:個|个[ge4]; p.m.
xi_ w_ (下午)	下午 - xià wǔ
四	sì - four; 4
sì	四 - four; 4
s_ (四)	四 - sì
点	diǎn - point; dot; drop; speck
diǎn	点 - point; dot; drop; speck
di_n (点)	点 - diǎn
出发	chū fā - to start out; to set off
chū fā	出发 - to start out; to set off
ch_ f_ (出发)	出发 - chū fā
出	chū - to go out; to come out; to occur; to produce
chū	出 - to go out; to come out; to occur; to produce
ch_ (出)	出 - chū
半	bàn - half; semi-; incomplete; (after a number) and a half
bàn	半 - half; semi-; incomplete; (after a number) and a half
b_n (半)	半 - bàn
已经	yǐ jīng - already
yǐ jīng	已经 - already
y_ j_ng (已经)	已经 - yǐ jīng
已	yǐ - already; to stop; then; afterwards
yǐ	已 - already; to stop; then; afterwards
y_ (已)	已 - yǐ
到了	dào liǎo - at last; finally; in the end
dào liǎo	到了 - at last; finally; in the end
d_o li_o (到了)	到了 - dào liǎo
奶奶	nǎi nai - (informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies
nǎi nai	奶奶 - (informal) grandma (paternal grandmother); (respectful) mistress of the house; CL:位[wei4]; (coll.) boobies
n_i nai (奶奶)	奶奶 - nǎi nai
到	dào - to (a place); until (a time); up to; to go
dào	到 - to (a place); until (a time); up to; to go
d_o (到)	到 - dào
热情	rè qíng - cordial; enthusiastic; passion; passionate
rè qíng	热情 - cordial; enthusiastic; passion; passionate
r_ q_ng (热情)	热情 - rè qíng
热	rè - to warm up; to heat up; hot (of weather); heat
rè	热 - to warm up; to heat up; hot (of weather); heat
r_ (热)	热 - rè
欢迎	huān yíng - to welcome; welcome
huān yíng	欢迎 - to welcome; welcome
hu_n y_ng (欢迎)	欢迎 - huān yíng
欢	huān - joyous; happy; pleased
huān	欢 - joyous; happy; pleased
hu_n (欢)	欢 - huān
好久不见	hǎo jiǔ bu jiàn - Long time no see
hǎo jiǔ bu jiàn	好久不见 - Long time no see
h_o ji_ bu ji_n (好久不见)	好久不见 - hǎo jiǔ bu jiàn
好久	hǎo jiǔ - quite a while
hǎo jiǔ	好久 - quite a while
h_o ji_ (好久)	好久 - hǎo jiǔ
见面	jiàn miàn - to meet; to see each other; CL:次[ci4]
jiàn miàn	见面 - to meet; to see each other; CL:次[ci4]
ji_n mi_n (见面)	见面 - jiàn miàn
高兴	gāo xìng - happy; glad; willing (to do sth); in a cheerful mood
gāo xìng	高兴 - happy; glad; willing (to do sth); in a cheerful mood
g_o x_ng (高兴)	高兴 - gāo xìng
高	gāo - high; tall; above average; loud
gāo	高 - high; tall; above average; loud
g_o (高)	高 - gāo
奶	nǎi - mother; variant of 奶[nai3]
nǎi	奶 - mother; variant of 奶[nai3]
n_i (奶)	奶 - nǎi
笑	xiào - laugh; smile; CL:個|个[ge4]
xiào	笑 - laugh; smile; CL:個|个[ge4]
xi_o (笑)	笑 - xiào
谈	tán - to speak; to talk; to converse; to chat
tán	谈 - to speak; to talk; to converse; to chat
t_n (谈)	谈 - tán
得很	de hěn - very (much, good etc)
de hěn	得很 - very (much, good etc)
de h_n (得很)	得很 - de hěn
愉快	yú kuài - cheerful; cheerily; delightful; pleasant
yú kuài	愉快 - cheerful; cheerily; delightful; pleasant
y_ ku_i (愉快)	愉快 - yú kuài
愉	yú - pleased
yú	愉 - pleased
y_ (愉)	愉 - yú
预祝	yù zhù - to congratulate beforehand; to offer best wishes for
yù zhù	预祝 - to congratulate beforehand; to offer best wishes for
y_ zh_ (预祝)	预祝 - yù zhù
预	yù - to advance; in advance; beforehand; to prepare
yù	预 - to advance; in advance; beforehand; to prepare
y_ (预)	预 - yù
成功	chéng gōng - success; to succeed; CL:次[ci4],個|个[ge4]
chéng gōng	成功 - success; to succeed; CL:次[ci4],個|个[ge4]
ch_ng g_ng (成功)	成功 - chéng gōng
成	chéng - to succeed; to finish; to complete; to accomplish
chéng	成 - to succeed; to finish; to complete; to accomplish
ch_ng (成)	成 - chéng
祝	zhù - to wish; to express good wishes; to pray; (old) wizard
zhù	祝 - to wish; to express good wishes; to pray; (old) wizard
zh_ (祝)	祝 - zhù
蒸	zhēng - to evaporate; (of cooking) to steam; torch made from hemp stalks or bamboo (old); finely chopped firewood (old)
zhēng	蒸 - to evaporate; (of cooking) to steam; torch made from hemp stalks or bamboo (old); finely chopped firewood (old)
zh_ng (蒸)	蒸 - zhēng
一路平安	yī lù píng ān - to have a pleasant journey; Bon voyage!
yī lù píng ān	一路平安 - to have a pleasant journey; Bon voyage!
y_ l_ p_ng _n (一路平安)	一路平安 - yī lù píng ān
一路	yī lù - the whole journey; all the way; going the same way; going in the same direction
yī lù	一路 - the whole journey; all the way; going the same way; going in the same direction
y_ l_ (一路)	一路 - yī lù
一定要	yī dìng yào - must
yī dìng yào	一定要 - must
y_ d_ng y_o (一定要)	一定要 - yī dìng yào
一定	yī dìng - surely; certainly; necessarily; fixed
yī dìng	一定 - surely; certainly; necessarily; fixed
y_ d_ng (一定)	一定 - yī dìng
常	cháng - always; ever; often; frequently
cháng	常 - always; ever; often; frequently
ch_ng (常)	常 - cháng
来信	lái xìn - incoming letter; send a letter here
lái xìn	来信 - incoming letter; send a letter here
l_i x_n (来信)	来信 - lái xìn
来	lái - to come; to arrive; to come round; ever since
lái	来 - to come; to arrive; to come round; ever since
l_i (来)	来 - lái
小心	xiǎo xīn - to be careful; to take care
xiǎo xīn	小心 - to be careful; to take care
xi_o x_n (小心)	小心 - xiǎo xīn
小	xiǎo - small; tiny; few; young
xiǎo	小 - small; tiny; few; young
xi_o (小)	小 - xiǎo
祝	zhù - to wish; to express good wishes; to pray; (old) wizard
zhù	祝 - to wish; to express good wishes; to pray; (old) wizard
zh_ (祝)	祝 - zhù
热	rè - to warm up; to heat up; hot (of weather); heat
rè	热 - to warm up; to heat up; hot (of weather); heat
r_ (热)	热 - rè
哭	kū - to cry; to weep
kū	哭 - to cry; to weep
k_ (哭)	哭 - kū
